name,rarity,power,toughness,types,type,supertypes,subtypes,setCode,loyalty,life,text,cardParts,colorIdentity,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceManaValue,faceName,keywords,manaCost,manaValue
Mountain,common,,,Land,Basic Land — Mountain,Basic,Mountain,ANA,,,({T}: Add {R}.),,R,,0.51,,,,,,0.0
Forest,common,,,Land,Basic Land — Forest,Basic,Forest,ANA,,,({T}: Add {G}.),,G,,0.38,,,,,,0.0
Angel of Vitality,uncommon,2,2,Creature,Creature — Angel,,Angel,ANB,,,"Flying\nIf you would gain life, you gain that much life plus 1 instead.\nThis creature gets +2/+2 as long as you have 25 or more life.",,W,2188.0,0.25,,,,Flying,{2}{W},3.0
Pacifism,common,,,Enchantment,Enchantment — Aura,,Aura,ANB,,,Enchant creature\nEnchanted creature can't attack or block.,,W,5360.0,0.64,,,,Enchant,{1}{W},2.0
Serra Angel,uncommon,4,4,Creature,Creature — Angel,,Angel,ANB,,,Flying\nVigilance (Attacking doesn't cause this creature to tap.),,W,9434.0,,,,,"Flying, Vigilance",{3}{W}{W},5.0
Unsummon,common,,,Instant,Instant,,,ANB,,,Return target creature to its owner's hand.,,U,3175.0,0.15,,,,,{U},1.0
Murder,uncommon,,,Instant,Instant,,,ANB,,,Destroy target creature.,,B,769.0,0.12,,,,,{1}{B}{B},3.0
Skeleton Archer,common,3,3,Creature,Creature — Skeleton Archer,,"Skeleton, Archer",ANB,,,"When this creature enters, it deals 1 damage to any target.",,B,19329.0,,,,,,{3}{B},4.0
Shock,common,,,Instant,Instant,,,ANB,,,Shock deals 2 damage to any target.,,R,2498.0,0.08,,,,,{R},1.0
Affectionate Indrik,uncommon,4,4,Creature,Creature — Beast,,Beast,ANB,,,"When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)",,G,19098.0,0.23,,,,Fight,{5}{G},6.0
Gigantosaurus,rare,10,10,Creature,Creature — Dinosaur,,Dinosaur,ANB,,,,,G,4715.0,0.36,,,,,{G}{G}{G}{G}{G},5.0
Rabid Bite,common,,,Sorcery,Sorcery,,,ANB,,,Target creature you control deals damage equal to its power to target creature you don't control.,,G,6561.0,,,,,,{1}{G},2.0
Titanic Growth,common,,,Instant,Instant,,,ANB,,,Target creature gets +4/+4 until end of turn.,,G,6098.0,0.07,,,,,{1}{G},2.0
Evolving Wilds,common,,,Land,Land,,,ANB,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,16.0,,,,,,,0.0
Forest,common,,,Land,Basic Land — Forest,Basic,Forest,ANB,,,({T}: Add {G}.),,G,,0.38,,,,,,0.0
Island,common,,,Land,Basic Land — Island,Basic,Island,ANB,,,({T}: Add {U}.),,U,,0.64,,,,,,0.0
Mountain,common,,,Land,Basic Land — Mountain,Basic,Mountain,ANB,,,({T}: Add {R}.),,R,,0.51,,,,,,0.0
Plains,common,,,Land,Basic Land — Plains,Basic,Plains,ANB,,,({T}: Add {W}.),,W,,0.45,,,,,,0.0
Swamp,common,,,Land,Basic Land — Swamp,Basic,Swamp,ANB,,,({T}: Add {B}.),,B,,0.48,,,,,,0.0
Collector's Cage,mythic,,,Artifact,Artifact,,,BIG,,,"Hideaway 5 (When this artifact enters, look at the top five cards of your library, exile one face down, then put the rest on the bottom in a random order.)\n{1}, {T}: Put a +1/+1 counter on target creature you control. Then if you control three or more creatures with different powers, you may play the exiled card without paying its mana cost.",,W,11852.0,0.15,,,,Hideaway,{1}{W},2.0
Grand Abolisher,mythic,2,2,Creature,Creature — Human Cleric,,"Human, Cleric",BIG,,,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.",,W,255.0,1.43,,,,,{W}{W},2.0
Oltec Matterweaver,mythic,2,4,Creature,Creature — Human Artificer,,"Human, Artificer",BIG,,,"Whenever you cast a creature spell, choose one —\n• Create a 1/1 colorless Gnome artifact creature token.\n• Create a token that's a copy of target artifact token you control.",,W,4017.0,0.3,,,,,{2}{W},3.0
Rest in Peace,mythic,,,Enchantment,Enchantment,,,BIG,,,"When this enchantment enters, exile all graveyards.\nIf a card or token would be put into a graveyard from anywhere, exile it instead.",,W,2196.0,1.37,,,,,{1}{W},2.0
Esoteric Duplicator,mythic,,,Artifact,Artifact — Clue,,Clue,BIG,,,"Whenever you sacrifice this artifact or another artifact, you may pay {2}. If you do, at the beginning of the next end step, create a token that's a copy of that artifact.\n{2}, Sacrifice this artifact: Draw a card.",,U,6813.0,0.41,,,,,{2}{U},3.0
Simulacrum Synthesizer,mythic,,,Artifact,Artifact,,,BIG,,,"When this artifact enters, scry 2.\nWhenever another artifact you control with mana value 3 or greater enters, create a 0/0 colorless Construct artifact creature token with ""This token gets +1/+1 for each artifact you control.""",,U,3119.0,0.65,,,,Scry,{2}{U},3.0
Worldwalker Helm,mythic,,,Artifact,Artifact,,,BIG,,,"If you would create one or more artifact tokens, instead create those tokens plus an additional Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")\n{1}{U}, {T}: Create a token that's a copy of target artifact token you control.",,U,3949.0,0.08,,,,Explore,{2}{U},3.0
Greed's Gambit,mythic,,,Enchantment,Enchantment,,,BIG,,,"When this enchantment enters, you draw three cards, gain 6 life, and create three 2/1 black Bat creature tokens with flying.\nAt the beginning of your end step, you discard a card, lose 2 life, and sacrifice a creature.\nWhen this enchantment leaves the battlefield, you discard three cards, lose 6 life, and sacrifice three creatures.",,B,14533.0,0.21,,,,,{3}{B},4.0
Harvester of Misery,mythic,5,4,Creature,Creature — Spirit,,Spirit,BIG,,,"Menace\nWhen this creature enters, other creatures get -2/-2 until end of turn.\n{1}{B}, Discard this card: Target creature gets -2/-2 until end of turn.",,B,12882.0,0.21,,,,Menace,{3}{B}{B},5.0
Hostile Investigator,mythic,4,3,Creature,Creature — Ogre Rogue Detective,,"Ogre, Rogue, Detective",BIG,,,"When this creature enters, target opponent discards a card.\nWhenever one or more players discard one or more cards, investigate. This ability triggers only once each turn. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,B,13599.0,0.32,,,,Investigate,{3}{B},4.0
Generous Plunderer,mythic,2,2,Creature,Creature — Human Rogue,,"Human, Rogue",BIG,,,"Menace\nAt the beginning of your upkeep, you may create a Treasure token. When you do, target opponent creates a tapped Treasure token.\nWhenever this creature attacks, it deals damage to defending player equal to the number of artifacts they control.",,R,3328.0,0.51,,,,"Menace, Treasure",{1}{R},2.0
Legion Extruder,mythic,,,Artifact,Artifact,,,BIG,,,"When this artifact enters, it deals 2 damage to any target.\n{2}, {T}, Sacrifice another artifact: Create a 3/3 colorless Golem artifact creature token.",,R,14003.0,0.27,,,,,{1}{R},2.0
Memory Vessel,mythic,,,Artifact,Artifact,,,BIG,,,"{T}, Exile this artifact: Each player exiles the top seven cards of their library. Until your next turn, players may play cards they exiled this way, and they can't play cards from their hand. Activate only as a sorcery.",,R,13935.0,0.51,,,,,{3}{R}{R},5.0
Molten Duplication,mythic,,,Sorcery,Sorcery,,,BIG,,,"Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.",,R,2143.0,0.34,,,,,{1}{R},2.0
Territory Forge,mythic,,,Artifact,Artifact,,,BIG,,,"When this artifact enters, if you cast it, exile target artifact or land.\nThis artifact has all activated abilities of the exiled card.",,R,17515.0,0.29,,,,,{4}{R},5.0
Ancient Cornucopia,mythic,,,Artifact,Artifact,,,BIG,,,"Whenever you cast a spell that's one or more colors, you may gain 1 life for each of that spell's colors. Do this only once each turn.\n{T}: Add one mana of any color.",,G,9611.0,0.08,,,,,{2}{G},3.0
Bristlebud Farmer,mythic,5,5,Creature,Creature — Plant Druid,,"Plant, Druid",BIG,,,"Trample\nWhen this creature enters, create two Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this token: You gain 3 life."")\nWhenever this creature attacks, you may sacrifice a Food. If you do, mill three cards. You may put a permanent card from among them into your hand.",,G,9035.0,0.06,,,,"Food, Mill, Trample",{2}{G}{G},4.0
Omenpath Journey,mythic,,,Enchantment,Enchantment,,,BIG,,,"When this enchantment enters, search your library for up to five land cards that have different names, exile them, then shuffle.\nAt the beginning of your end step, choose a card at random exiled with this enchantment and put it onto the battlefield tapped.",,G,5817.0,0.29,,,,,{3}{G},4.0
Sandstorm Salvager,mythic,1,1,Creature,Creature — Human Artificer,,"Human, Artificer",BIG,,,"When this creature enters, create a 3/3 colorless Golem artifact creature token.\n{2}, {T}: Put a +1/+1 counter on each creature token you control. They gain trample until end of turn.",,G,8956.0,0.12,,,,,{2}{G},3.0
Vaultborn Tyrant,mythic,6,6,Creature,Creature — Dinosaur,,Dinosaur,BIG,,,"Trample\nWhenever this creature or another creature you control with power 4 or greater enters, you gain 3 life and draw a card.\nWhen this creature dies, if it's not a token, create a token that's a copy of it, except it's an artifact in addition to its other types.",,G,2384.0,0.75,,,,Trample,{5}{G}{G},7.0
"Loot, the Key to Everything",mythic,1,2,Creature,Legendary Creature — Beast Noble,Legendary,"Beast, Noble",BIG,,,"Ward {1}\nAt the beginning of your upkeep, exile the top X cards of your library, where X is the number of card types among other nonland permanents you control. You may play those cards this turn.",,"G, R, U",8939.0,0.47,,,,Ward,{G}{U}{R},3.0
Pest Control,mythic,,,Sorcery,Sorcery,,,BIG,,,"Destroy all nonland permanents with mana value 1 or less.\nCycling {2} ({2}, Discard this card: Draw a card.)",,"B, W",14527.0,0.65,,,,Cycling,{W}{B},2.0
Lost Jitte,mythic,,,Artifact,Legendary Artifact — Equipment,Legendary,Equipment,BIG,,,"Whenever equipped creature deals combat damage, put a charge counter on Lost Jitte.\nRemove a charge counter from Lost Jitte: Choose one —\n• Untap target land.\n• Target creature can't block this turn.\n• Put a +1/+1 counter on equipped creature.\nEquip {1}",,,5528.0,0.14,,,,Equip,{1},1.0
Lotus Ring,mythic,,,Artifact,Artifact — Equipment,,Equipment,BIG,,,"Indestructible\nEquipped creature gets +3/+3 and has vigilance and ""{T}, Sacrifice this creature: Add three mana of any one color.""\nEquip {3}",,,11804.0,0.13,,,,"Equip, Indestructible",{3},3.0
Nexus of Becoming,mythic,,,Artifact,Artifact,,,BIG,,,"At the beginning of combat on your turn, draw a card. Then you may exile an artifact or creature card from your hand. If you do, create a token that's a copy of the exiled card, except it's a 3/3 Golem artifact creature in addition to its other types.",,,7421.0,0.22,,,,,{6},6.0
Sword of Wealth and Power,mythic,,,Artifact,Artifact — Equipment,,Equipment,BIG,,,"Equipped creature gets +2/+2 and has protection from instants and from sorceries.\nWhenever equipped creature deals combat damage to a player, create a Treasure token. When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.\nEquip {2}",,,2562.0,0.68,,,,"Equip, Treasure",{3},3.0
Torpor Orb,mythic,,,Artifact,Artifact,,,BIG,,,Creatures entering don't cause abilities to trigger.,,,2856.0,1.72,,,,,{2},2.0
Transmutation Font,mythic,,,Artifact,Artifact,,,BIG,,,"{T}: Create your choice of a Blood token, a Clue token, or a Food token.\n{3}, {T}, Sacrifice three artifact tokens with different names: Search your library for an artifact card, put it onto the battlefield, then shuffle. Activate only as a sorcery.",,,4968.0,0.57,,,,Food,{5},5.0
Fomori Vault,mythic,,,Land,Land,,,BIG,,,"{T}: Add {C}.\n{3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.",,,2305.0,0.17,,,,,,0.0
Tarnation Vista,mythic,,,Land,Land,,,BIG,,,"This land enters tapped. As it enters, choose a color.\n{T}: Add one mana of the chosen color.\n{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,9157.0,0.17,,,,,,0.0
Banishing Light,common,,,Enchantment,Enchantment,,,BLB,,,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",,W,2288.0,0.32,,,,,{2}{W},3.0
"Beza, the Bounding Spring",mythic,4,5,Creature,Legendary Creature — Elemental Elk,Legendary,"Elemental, Elk",BLB,,,"When Beza enters, create a Treasure token if an opponent controls more lands than you. You gain 4 life if an opponent has more life than you. Create two 1/1 blue Fish creature tokens if an opponent controls more creatures than you. Draw a card if an opponent has more cards in hand than you.",,W,5870.0,0.19,,,,Treasure,{2}{W}{W},4.0
Brave-Kin Duo,common,1,1,Creature,Creature — Rabbit Mouse,,"Rabbit, Mouse",BLB,,,"{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery.",,W,11187.0,0.12,,,,,{W},1.0
Brightblade Stoat,uncommon,2,2,Creature,Creature — Weasel Soldier,,"Weasel, Soldier",BLB,,,"First strike, lifelink",,W,13562.0,0.21,,,,"First strike, Lifelink",{1}{W},2.0
Builder's Talent,uncommon,,,Enchantment,Enchantment — Class,,Class,BLB,,,"(Gain the next level as a sorcery to add its ability.)\nWhen this Class enters, create a 0/4 white Wall creature token with defender.\n{W}: Level 2\nWhenever one or more noncreature, nonland permanents you control enter, put a +1/+1 counter on target creature you control.\n{4}{W}: Level 3\nWhen this Class becomes level 3, return target noncreature, nonland permanent card from your graveyard to the battlefield.",,W,11591.0,0.04,,,,,{1}{W},2.0
Caretaker's Talent,rare,,,Enchantment,Enchantment — Class,,Class,BLB,,,"(Gain the next level as a sorcery to add its ability.)\nWhenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.\n{W}: Level 2\nWhen this Class becomes level 2, create a token that's a copy of target token you control.\n{3}{W}: Level 3\nCreature tokens you control get +2/+2.",,W,1097.0,0.46,,,,,{2}{W},3.0
Carrot Cake,common,,,Artifact,Artifact — Food,,Food,BLB,,,"When this artifact enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)\n{2}, {T}, Sacrifice this artifact: You gain 3 life.",,W,9011.0,0.03,,,,Scry,{1}{W},2.0
Crumb and Get It,common,,,Instant,Instant,,,BLB,,,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")\nTarget creature you control gets +2/+2 until end of turn. If the gift was promised, that creature also gains indestructible until end of turn.",,W,7509.0,0.05,,,,"Food, Gift",{W},1.0
Dawn's Truce,rare,,,Instant,Instant,,,BLB,,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)\nYou and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.",,W,629.0,0.43,,,,Gift,{1}{W},2.0
Dewdrop Cure,uncommon,,,Sorcery,Sorcery,,,BLB,,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)\nReturn up to two target creature cards each with mana value 2 or less from your graveyard to the battlefield. If the gift was promised, instead return up to three target creature cards each with mana value 2 or less from your graveyard to the battlefield.",,W,8270.0,0.12,,,,Gift,{2}{W},3.0
Driftgloom Coyote,uncommon,3,4,Creature,Creature — Elemental Coyote,,"Elemental, Coyote",BLB,,,"When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. If that creature had power 2 or less, put a +1/+1 counter on this creature.",,W,19638.0,0.04,,,,,{3}{W}{W},5.0
Essence Channeler,rare,2,1,Creature,Creature — Bat Cleric,,"Bat, Cleric",BLB,,,"As long as you've lost life this turn, this creature has flying and vigilance.\nWhenever you gain life, put a +1/+1 counter on this creature.\nWhen this creature dies, put its counters on target creature you control.",,W,5468.0,0.13,,,,,{1}{W},2.0
Feather of Flight,uncommon,,,Enchantment,Enchantment — Aura,,Aura,BLB,,,"Flash\nEnchant creature\nWhen this Aura enters, draw a card.\nEnchanted creature gets +1/+0 and has flying.",,W,5945.0,0.1,,,,"Enchant, Flash",{1}{W},2.0
Flowerfoot Swordmaster,uncommon,1,2,Creature,Creature — Mouse Soldier,,"Mouse, Soldier",BLB,,,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)\nValiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",,W,12096.0,0.16,,,,"Offspring, Valiant",{W},1.0
Harvestrite Host,uncommon,3,3,Creature,Creature — Rabbit Citizen,,"Rabbit, Citizen",BLB,,,"Whenever this creature or another Rabbit you control enters, target creature you control gets +1/+0 until end of turn. Then draw a card if this is the second time this ability has resolved this turn.",,W,11290.0,0.04,,,,,{2}{W},3.0
Hop to It,uncommon,,,Sorcery,Sorcery,,,BLB,,,Create three 1/1 white Rabbit creature tokens.,,W,5902.0,0.09,,,,,{2}{W},3.0
Intrepid Rabbit,common,3,2,Creature,Creature — Rabbit Soldier,,"Rabbit, Soldier",BLB,,,"Offspring {1} (You may pay an additional {1} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)\nWhen this creature enters, target creature you control gets +1/+1 until end of turn.",,W,12507.0,0.04,,,,Offspring,{2}{W},3.0
Jackdaw Savior,rare,3,1,Creature,Creature — Bird Cleric,,"Bird, Cleric",BLB,,,"Flying\nWhenever this creature or another creature you control with flying dies, return another target creature card with lesser mana value from your graveyard to the battlefield.",,W,6909.0,0.1,,,,Flying,{2}{W},3.0
Jolly Gerbils,uncommon,2,3,Creature,Creature — Hamster Citizen,,"Hamster, Citizen",BLB,,,"Whenever you give a gift, draw a card.",,W,12847.0,0.09,,,,,{1}{W},2.0
Lifecreed Duo,common,1,2,Creature,Creature — Bat Bird,,"Bat, Bird",BLB,,,"Flying\nWhenever another creature you control enters, you gain 1 life.",,W,5500.0,0.17,,,,Flying,{1}{W},2.0
Mabel's Mettle,uncommon,,,Instant,Instant,,,BLB,,,Target creature gets +2/+2 until end of turn. Up to one other target creature gets +1/+1 until end of turn.,,W,13774.0,0.07,,,,,{1}{W},2.0
Mouse Trapper,uncommon,3,2,Creature,Creature — Mouse Soldier,,"Mouse, Soldier",BLB,,,"Flash\nValiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, tap target creature an opponent controls.",,W,12608.0,0.14,,,,"Flash, Valiant",{2}{W},3.0
Nettle Guard,common,3,1,Creature,Creature — Mouse Soldier,,"Mouse, Soldier",BLB,,,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +0/+2 until end of turn.\n{1}, Sacrifice this creature: Destroy target artifact or enchantment.",,W,11303.0,0.17,,,,Valiant,{1}{W},2.0
Parting Gust,uncommon,,,Instant,Instant,,,BLB,,,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)\nExile target nontoken creature. If the gift wasn't promised, return that card to the battlefield under its owner's control with a +1/+1 counter on it at the beginning of the next end step.",,W,3014.0,0.27,,,,Gift,{W}{W},2.0
Pileated Provisioner,common,3,4,Creature,Creature — Bird Scout,,"Bird, Scout",BLB,,,"Flying\nWhen this creature enters, put a +1/+1 counter on target creature you control without flying.",,W,17868.0,,,,,Flying,{4}{W},5.0
Rabbit Response,common,,,Instant,Instant,,,BLB,,,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,W,13133.0,0.09,,,,Scry,{2}{W}{W},4.0
Repel Calamity,uncommon,,,Instant,Instant,,,BLB,,,Destroy target creature with power or toughness 4 or greater.,,W,10022.0,0.04,,,,,{1}{W},2.0
Salvation Swan,rare,3,3,Creature,Creature — Bird Cleric,,"Bird, Cleric",BLB,,,"Flash\nFlying\nWhenever this creature or another Bird you control enters, exile up to one target creature you control without flying. Return it to the battlefield under its owner's control with a flying counter on it at the beginning of the next end step.",,W,11458.0,0.14,,,,"Flash, Flying",{3}{W},4.0
Season of the Burrow,mythic,,,Sorcery,Sorcery,,,BLB,,,Choose up to five {P} worth of modes. You may choose the same mode more than once.\n{P} — Create a 1/1 white Rabbit creature token.\n{P}{P} — Exile target nonland permanent. Its controller draws a card.\n{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.,,W,4966.0,0.25,,,,,{3}{W}{W},5.0
Seasoned Warrenguard,uncommon,1,2,Creature,Creature — Rabbit Warrior,,"Rabbit, Warrior",BLB,,,"Whenever this creature attacks while you control a token, this creature gets +2/+0 until end of turn.",,W,13873.0,0.09,,,,,{W},1.0
Shrike Force,uncommon,1,3,Creature,Creature — Bird Knight,,"Bird, Knight",BLB,,,"Flying, double strike, vigilance",,W,7246.0,0.05,,,,"Double strike, Flying, Vigilance",{2}{W},3.0
Sonar Strike,common,,,Instant,Instant,,,BLB,,,"Sonar Strike deals 4 damage to target attacking, blocking, or tapped creature. You gain 3 life if you control a Bat.",,W,13477.0,,,,,,{1}{W},2.0
Star Charter,uncommon,3,1,Creature,Creature — Bat Cleric,,"Bat, Cleric",BLB,,,"Flying\nAt the beginning of your end step, if you gained or lost life this turn, look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,W,10702.0,0.05,,,,Flying,{3}{W},4.0
Starfall Invocation,rare,,,Sorcery,Sorcery,,,BLB,,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)\nDestroy all creatures. If the gift was promised, return a creature card put into your graveyard this way to the battlefield under your control.",,W,2989.0,0.22,,,,Gift,{3}{W}{W},5.0
Thistledown Players,common,3,3,Creature,Creature — Mouse Bard,,"Mouse, Bard",BLB,,,"Whenever this creature attacks, untap target nonland permanent.",,W,12579.0,,,,,,{2}{W},3.0
Valley Questcaller,rare,2,3,Creature,Creature — Rabbit Warrior,,"Rabbit, Warrior",BLB,,,"Whenever one or more other Rabbits, Bats, Birds, and/or Mice you control enter, scry 1.\nOther Rabbits, Bats, Birds, and Mice you control get +1/+1.",,W,6160.0,0.04,,,,Scry,{1}{W},2.0
Warren Elder,common,2,2,Creature,Creature — Rabbit Cleric,,"Rabbit, Cleric",BLB,,,{3}{W}: Creatures you control get +1/+1 until end of turn.,,W,13356.0,,,,,,{1}{W},2.0
