subtypes,toughness,type,name,rarity,historic,manaCost,power,text,types,alchemy,faceConvertedManaCost
,,Instant,Deadly Dispute,common,Legal,{1}{B},,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nDraw two cards and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Instant,,
"Tiefling, Cleric",2,Creature — Tiefling Cleric,Death-Priest of Myrkul,uncommon,,{2}{B}{B},2,"Skeletons, Vampires, and Zombies you control get +1/+1.\nAt the beginning of your end step, if a creature died this turn, you may pay {1}. If you do, create a 1/1 black Skeleton creature token.",Creature,,
"Tiefling, Cleric",3,Creature — Tiefling Cleric,A-Death-Priest of Myrkul,uncommon,Legal,{2}{B}{B},3,"Skeletons, Vampires, and Zombies you control get +1/+1.\nAt the beginning of your end step, if a creature died this turn, create a 1/1 black Skeleton creature token.",Creature,,
,,Sorcery,Demogorgon's Clutches,uncommon,Legal,{2}{B},,"Target opponent discards two cards, mills two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)",Sorcery,,
,,Sorcery,Devour Intellect,common,Legal,{B},,"Target opponent discards a card. If mana from a Treasure was spent to cast this spell, instead that player reveals their hand, you choose a nonland card from it, then that player discards that card.",Sorcery,,
"Elf, Spider",3,Creature — Elf Spider,Drider,uncommon,Legal,{4}{B},4,"Reach\nWhenever this creature deals combat damage to a player, create a 2/1 black Spider creature token with menace and reach.",Creature,,
Zombie,1,Creature — Zombie,Dungeon Crawler,uncommon,Legal,{B},2,"This creature enters tapped.\nWhenever you complete a dungeon, you may return this card from your graveyard to your hand.",Creature,,
"Zombie, Dragon",2,Legendary Creature — Zombie Dragon,"Ebondeath, Dracolich",mythic,Legal,{2}{B}{B},5,"Flash\nFlying\nEbondeath enters tapped.\nYou may cast this card from your graveyard if a creature not named Ebondeath, Dracolich died this turn.",Creature,,
,,Instant,Eyes of the Beholder,common,,{4}{B}{B},,Target creature gets -11/-11 until end of turn.,Instant,,
,,Sorcery,Fates' Reversal,common,,{1}{B},,Return up to one target creature card from your graveyard to your hand. Venture into the dungeon. (Enter the first room or advance to the next room.),Sorcery,,
,,Sorcery,A-Fates' Reversal,common,Legal,{B},,Return up to one target creature card from your graveyard to your hand. Venture into the dungeon. (Enter the first room or advance to the next room.),Sorcery,,
,,Instant,Feign Death,common,Legal,{B},,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",Instant,,
"Human, Knight",1,Creature — Human Knight,Forsworn Paladin,rare,Legal,{B},1,"Menace\n{1}{B}, {T}, Pay 1 life: Create a Treasure token.\n{2}{B}: Target creature gets +2/+0 until end of turn. If mana from a Treasure was spent to activate this ability, that creature also gains deathtouch until end of turn.",Creature,,
Ooze,3,Creature — Ooze,Gelatinous Cube,rare,Legal,{2}{B}{B},4,"Engulf — When this creature enters, exile target non-Ooze creature an opponent controls until this creature leaves the battlefield.\nDissolve — {X}{B}: Put target creature card with mana value X exiled with this creature into its owner's graveyard.",Creature,,
,,Sorcery,Grim Bounty,common,Legal,{2}{B}{B},,"Destroy target creature or planeswalker. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Sorcery,,
"Goblin, Warlock",3,Creature — Goblin Warlock,Grim Wanderer,uncommon,Legal,{1}{B},5,Flash\nTragic Backstory — Cast this spell only if a creature died this turn.,Creature,,
"Human, Warlock",4,Creature — Human Warlock,Herald of Hadar,common,Legal,{4}{B},4,"Circle of Death — {5}{B}: Roll a d20.\n1—9 | Each opponent loses 2 life.\n10—19 | Each opponent loses 2 life and you gain 2 life.\n20 | Each opponent loses 2 life and you gain 2 life. Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",Creature,,
"Elf, Warlock",2,Creature — Elf Warlock,Hired Hexblade,common,Legal,{1}{B},2,"When this creature enters, if mana from a Treasure was spent to cast it, you draw a card and you lose 1 life.",Creature,,
"Tiefling, Rogue",3,Creature — Tiefling Rogue,Hoard Robber,common,Legal,{1}{B},1,"Whenever this creature deals combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Creature,,
